postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2000,Alexandria,5,3302298.03819279,77.0232004105247
2000,Cook and Phillip,5,4287406.93789913,100
2000,Rozelle,5,4053941.0723219,94.5546138036612
2000,Bradfield Highway,5,4287406.93789913,100
2000,Cammeray,5,2786880.2435689,65.0015331862689
2006,Alexandria,5,677968.564915197,100
2006,Cook and Phillip,5,677968.564915197,100
2006,Rozelle,5,677968.564915197,100
2006,Bradfield Highway,5,38232.1634656834,5.63922362247955
2007,Alexandria,5,558413.380096496,100
2007,Cook and Phillip,5,558413.380096496,100
2007,Rozelle,5,558413.380096496,100
2007,Bradfield Highway,5,558413.380096496,100
2008,Alexandria,5,844643.893602164,100
2008,Cook and Phillip,5,844643.893602164,100
2008,Rozelle,5,844643.893602164,100
2008,Bradfield Highway,5,314910.312194483,37.2832047422353
2009,Alexandria,5,932614.059854661,100
2009,Cook and Phillip,5,932614.059854661,100
2009,Rozelle,5,932614.059854661,100
2009,Bradfield Highway,5,932614.059854661,100
2009,Cammeray,5,332479.839392915,35.650313854879
2010,Alexandria,5,2173296.2055983,100
2010,Cook and Phillip,5,2173296.2055983,100
2010,Rozelle,5,771647.897588751,35.5058779194951
2010,Bradfield Highway,5,1788923.67606505,82.3138452759858
2011,Alexandria,5,1094870.71669877,78.1296781971167
2011,Cook and Phillip,5,1401350.60320673,100
2011,Rozelle,5,49661.3367218659,3.54381955580746
2011,Bradfield Highway,5,1401350.60320673,100
2011,Cammeray,5,805822.955687633,57.5033081545516
2015,Randwick,5,1191476.4720518,28.2651102491869
2015,Earlwood,5,918854.25073687,21.7977587549732
2015,Alexandria,5,4215361.13444338,100
2015,Cook and Phillip,5,3060717.91314201,72.6086761139662
2015,Rozelle,5,880257.598548048,20.8821396429249
2016,Randwick,5,186102.794058796,15.8829050907641
2016,Alexandria,5,1171717.59823091,100
2016,Cook and Phillip,5,1171717.59823091,100
2016,Rozelle,5,532734.238574406,45.4660951904061
2017,Randwick,5,1563620.69886026,80.6548605805904
2017,Alexandria,5,1938656.50204415,100
2017,Cook and Phillip,5,1938656.50204415,100
2017,Rozelle,5,53861.8437541379,2.77830774545904
2018,Randwick,5,3930975.3020395,100
2018,Alexandria,5,3930975.3020395,100
2018,Cook and Phillip,5,735772.907693161,18.7173118923291
2019,Randwick,5,6346430.41613713,93.3451152854664
2019,Alexandria,5,2474690.83097025,36.3984611452507
2020,Randwick,5,2280651.46731541,19.067216290338
2020,Earlwood,5,5413513.05695447,45.2592716716256
2020,Alexandria,5,8428260.69782486,70.4638442041073
2021,Randwick,5,3884713.37424088,67.9374212518787
2021,Alexandria,5,5718075.99207845,100
2021,Cook and Phillip,5,5718075.99207845,100
2021,Bradfield Highway,5,1205407.34926238,21.0806458489235
2022,Randwick,5,1922630.38546905,100
2022,Alexandria,5,1128454.69153342,58.6932725115609
2022,Cook and Phillip,5,1919493.57166202,99.8368477981659
2023,Randwick,5,27033.4903065451,1.13921806984757
2023,Cook and Phillip,5,2301465.54968288,96.9860388577209
2023,Bradfield Highway,5,149409.859295986,6.29627952562824
2024,Randwick,5,1924193.36219335,100
